City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,solleftea,63.1667,17.2667,2,69,69,7.59,SE,1703025824
1,bilibino,68.0546,166.4372,-38,100,100,0.37,RU,1703025555
2,dudinka,69.4058,86.1778,-14,76,100,13.41,RU,1703025826
3,edinburgh of the seven seas,-37.0676,-12.3116,17,92,88,8.51,SH,1703025827
4,mwinilunga,-11.7358,24.4293,18,97,94,0.57,ZM,1703025827
5,coahuayana de hidalgo,18.7,-103.6583,28,71,16,2.1,MX,1703025828
6,grytviken,-54.2811,-36.5092,5,84,98,6.16,GS,1703025829
7,isafjordur,66.0755,-23.124,-7,77,100,4.08,IS,1703025829
8,baskale,38.0453,44.0172,-4,72,100,0.63,TR,1703025830
9,seram,17.1833,77.2833,17,58,73,2.51,IN,1703025831
10,waitangi,-43.9535,-176.5597,14,91,18,5.29,NZ,1703025832
11,ilulissat,69.2167,-51.1,-27,76,1,3.01,GL,1703025560
12,sitka,57.0531,-135.33,2,75,40,0.0,US,1703025833
13,hermanus,-34.4187,19.2345,15,82,1,3.12,ZA,1703025834
14,ushuaia,-54.8,-68.3,14,67,75,7.72,AR,1703025751
15,yellowknife,62.456,-114.3525,-22,84,75,4.63,CA,1703025554
16,adamstown,-25.066,-130.1015,23,78,99,7.21,PN,1703025556
17,gaoual,11.75,-13.2,21,24,4,1.2,GN,1703025836
18,albany,42.6001,-73.9662,0,73,79,4.92,US,1703025837
19,mount gambier,-37.8333,140.7667,15,48,2,5.59,AU,1703025838
20,port-aux-francais,-49.35,70.2167,5,77,43,13.26,TF,1703025555
21,buala,-8.145,159.5921,29,66,67,1.04,SB,1703025839
22,tazovsky,67.4667,78.7,-13,92,100,9.12,RU,1703025840
23,fort morgan,40.2503,-103.8,18,20,45,2.57,US,1703025840
24,thompson,55.7435,-97.8558,-20,77,20,2.06,CA,1703025841
25,margaret river,-33.95,115.0667,18,59,90,5.86,AU,1703025561
26,shumikha,55.2261,63.2961,-14,94,16,3.03,RU,1703025842
27,atafu village,-8.5421,-172.5159,29,74,88,3.92,TK,1703025562
28,beroroha,-21.6667,45.1667,27,69,68,2.1,MG,1703025844
29,rikaze,29.25,88.8833,-4,25,0,0.63,CN,1703025844
30,fortaleza,-3.7227,-38.5247,29,85,40,3.09,BR,1703025833
31,puerto ayora,-0.7393,-90.3518,29,92,98,2.24,EC,1703025846
32,moussoro,13.6408,16.4901,24,26,16,4.71,TD,1703025846
33,walvis bay,-22.9575,14.5053,17,88,0,3.6,NA,1703025556
34,puerto natales,-51.7236,-72.4875,16,68,27,2.69,CL,1703025848
35,sysert',56.4953,60.8192,-4,94,9,2.84,RU,1703025848
36,fomboni,-12.28,43.7425,29,76,85,6.07,KM,1703025849
37,talnakh,69.4865,88.3972,-14,66,100,12.74,RU,1703025559
38,westport,41.1415,-73.3579,4,61,100,4.12,US,1703025663
39,verkhneural'sk,53.8769,59.2106,-18,99,44,1.91,RU,1703025851
40,baruun-urt,46.6806,113.2792,-33,92,69,2.68,MN,1703025852
41,iqaluit,63.7506,-68.5145,-20,71,75,5.66,CA,1703025557
42,yemetsk,63.4721,41.7941,1,94,100,5.41,RU,1703025853
43,puerto madero,14.7208,-92.4215,29,79,0,5.14,MX,1703025854
44,alofi,-19.0595,-169.9187,29,74,75,9.26,NU,1703025588
45,kudat,6.8837,116.8477,25,100,90,0.51,MY,1703025855
46,melfi,40.9965,15.6514,-1,59,0,1.83,IT,1703025856
47,santiago de cao,-7.9589,-79.2392,22,83,40,3.6,PE,1703025857
48,bontang,0.1333,117.5,25,89,67,2.39,ID,1703025857
49,nova sintra,14.8667,-24.7167,21,71,100,5.0,CV,1703025858
50,papatowai,-46.5619,169.4708,15,96,100,1.55,NZ,1703025859
51,talas,38.6908,35.5538,-5,93,5,0.51,TR,1703025859
52,college,64.8569,-147.8028,-12,82,75,3.6,US,1703025860
53,touros,-5.1989,-35.4608,26,84,98,3.82,BR,1703025861
54,saipan,15.1355,145.701,27,74,20,5.66,MP,1703025862
55,lyozna,55.0249,30.7956,2,99,100,5.93,BY,1703025862
56,selfoss,63.9331,-20.9971,-6,68,100,1.66,IS,1703025863
57,stanley,54.868,-1.6985,7,83,20,8.75,GB,1703025863
58,vilyuchinsk,52.9306,158.4028,-14,81,100,3.83,RU,1703025864
59,olonkinbyen,70.9221,-8.7187,-5,65,100,8.61,SJ,1703025865
60,hasaki,35.7333,140.8333,5,62,100,3.15,JP,1703025866
61,karratha,-20.7377,116.8463,24,67,2,5.56,AU,1703025866
62,rosarito,32.3333,-117.0333,21,60,74,2.2,MX,1703025867
63,port alfred,-33.5906,26.891,18,98,49,0.89,ZA,1703025868
64,udachny,66.4167,112.4,-26,86,98,2.12,RU,1703025868
65,bethel,41.3712,-73.414,4,65,100,4.12,US,1703025869
66,lihue,21.9789,-159.3672,26,76,75,10.29,US,1703025870
67,brookings,44.3114,-96.7984,3,66,0,2.06,US,1703025636
68,ambilobe,-13.2,49.05,24,92,79,0.99,MG,1703025871
